laptop_ID,Inches,Memory,SSD_Flag,HDD_Flag,Storage_GB,Ram_GB,Company_std,OpSys_std,Weight_kg,Screen_W,Screen_H,PPI,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,Cpu_Brand_Intel,Cpu_Brand_Other,Gpu_Brand_Intel,Gpu_Brand_Nvidia,Gpu_Brand_Other,OS_Simplified_MacOS,OS_Simplified_Other,OS_Simplified_Windows
77,15.6,1TB HDD,0,1,1000.0,8,Asus,Windows,2.2,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
78,15.6,2TB HDD,0,1,2000.0,8,Lenovo,Other,2.2,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
79,15.6,128GB SSD +  1TB HDD,1,1,1128.0,8,Dell,Windows,2.02,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
80,15.6,1TB HDD,0,1,1000.0,4,Acer,Windows,2.2,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
81,17.3,128GB SSD +  1TB HDD,1,1,1128.0,8,HP,Windows,2.5,1920,1080,127.33567457123111,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
82,15.6,256GB SSD,1,0,256.0,8,Dell,Windows,1.88,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
83,12.0,512GB SSD,1,0,512.0,8,Apple,Mac,0.92,2304,1440,226.41554716935852,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
84,14.0,256GB SSD,1,0,256.0,8,HP,Windows,1.63,1920,1080,157.3505121487356,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
85,15.6,128GB SSD,1,0,128.0,4,Lenovo,Windows,2.2,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
86,15.6,1TB HDD,0,1,1000.0,4,Acer,Windows,2.1,1366,768,100.45466986113651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
87,15.6,128GB SSD +  1TB HDD,1,1,1128.0,16,Dell,Windows,2.65,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
88,15.6,256GB SSD,1,0,256.0,8,HP,Windows,1.83,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
89,15.6,256GB SSD,1,0,256.0,8,HP,Windows,1.96,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
90,15.6,128GB SSD +  1TB HDD,1,1,1128.0,16,Asus,Windows,2.2,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
91,13.3,256GB SSD,1,0,256.0,8,Dell,Windows,1.21,1920,1080,165.6321180513006,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
92,15.6,1TB HDD,0,1,1000.0,8,Asus,Windows,2.45,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
93,15.6,1TB HDD,0,1,1000.0,8,Acer,Windows,2.2,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
94,13.3,512GB SSD,1,0,512.0,16,HP,Windows,1.49,1920,1080,165.6321180513006,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
95,15.6,256GB SSD,1,0,256.0,8,Dell,Windows,2.65,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
96,14.0,256GB SSD,1,0,256.0,8,Asus,Windows,1.25,1920,1080,157.3505121487356,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
97,13.3,256GB SSD,1,0,256.0,8,Acer,Windows,1.5,1920,1080,165.6321180513006,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
98,15.6,1TB HDD,0,1,1000.0,8,Dell,Linux,2.2,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
99,15.6,256GB SSD,1,0,256.0,4,Dell,Linux,2.2,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
100,15.6,256GB SSD,1,0,256.0,6,Asus,Windows,2.0,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
102,15.6,128GB SSD +  1TB HDD,1,1,1128.0,12,HP,Windows,2.62,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
103,15.6,256GB SSD,1,0,256.0,8,HP,Windows,1.91,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
104,15.6,500GB HDD,0,1,500.0,4,HP,Windows,2.1,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
105,15.6,1TB HDD,0,1,1000.0,8,Dell,Linux,2.2,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
106,13.3,256GB SSD,1,0,256.0,8,HP,Windows,1.38,1920,1080,165.6321180513006,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
107,13.5,256GB SSD,1,0,256.0,8,Other,Windows 10 S,1.252,2256,1504,200.84255993695703,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
108,14.0,256GB SSD,1,0,256.0,6,HP,Windows,1.58,1920,1080,157.3505121487356,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
109,15.6,1TB HDD,0,1,1000.0,4,Lenovo,Windows,1.85,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
110,14.0,256GB SSD,1,0,256.0,8,Asus,Windows,1.3,1920,1080,157.3505121487356,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
111,15.6,256GB SSD +  1TB HDD,1,1,1256.0,16,MSI,Windows,2.2,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
112,14.0,256GB SSD,1,0,256.0,8,Lenovo,Windows,1.58,1920,1080,157.3505121487356,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
113,15.6,256GB SSD +  1TB HDD,1,1,1256.0,16,Asus,Windows,1.5,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
